51300017454,daf,155,97
51300021032,cfc,11,169
51300095752,ffg,237,173
51300099885,aef,206,176
51300194582,aee,181,190
51300222952,fca,30,49
51300253482,ccc,244,120
51300276995,def,108,180
51300294797,ada,100,104
51300316443,gfc,115,108
51300325441,bbf,29,200
51300350954,dgc,20,250
51300363359,cbg,73,87
51300395197,bde,150,278
51300396885,bbb,87,243
51300433745,acc,259,237
51300440413,abc,158,157
51300454880,gec,33,70
51300485823,aga,104,76
51300511807,eef,255,293
51300525453,gge,201,35
51300541845,cdd,19,222
51300561912,cbe,189,280
51300570481,caf,160,289
51300583797,ada,198,122
51300586639,fba,269,19
51300594447,fec,92,221
51300619644,bgd,87,178
51300709176,fbb,60,183
51300730063,aad,257,76
51300773322,ged,214,298
51300835007,acc,154,265
51300837645,eee,188,69
51300864688,eaf,41,77
51300873066,efe,298,109
51300877141,dbb,96,52
51300885563,bff,38,140
51300901428,bgd,123,211
51300905091,eda,16,230
51300906793,dbd,169,263
51300967808,dee,222,73
51301012324,fad,78,251
51301044504,bfa,288,159
51301063034,feb,217,151
51301100556,fae,276,272
51301106872,dbb,299,51
51301111600,dbg,60,253
51301149448,bfe,160,63
51301155138,abe,163,249
51301225619,bgc,194,266
51301276901,aef,11,151
51301299069,fba,181,21
51301375726,dgg,3,17
51301413572,agg,22,292
51301416181,gef,130,55
51301443578,eda,201,255
51301453562,abg,57,251
51301503029,gag,93,232
51301513380,edd,139,44
51301527399,beg,167,198
51301542636,bea,122,27
51301559691,fee,103,233
51301609798,ggg,261,9
51301618920,dcf,100,126
51301623003,ffd,165,213
51301639844,agg,44,251
51301677474,beb,168,39
51301677667,cec,203,124
51301725606,ead,214,108
51301759436,edd,89,40
51301815694,gbe,66,151
51301817515,ecf,121,75
51301830145,faf,295,222
51301839908,cbb,45,113
51302000333,fgf,296,262
51302019774,acg,51,181
51302030409,ccc,86,136
51302035360,aec,70,71
51302068053,ebg,45,214
51302087177,fec,45,192
51302090739,dfc,226,93
51302122898,afg,139,121
51302159286,ebe,188,135
51302194335,gaf,106,177
51302202315,gbe,122,147
51302205831,cgd,247,197
51302247269,cca,81,133
51302283761,agf,75,222
51302287633,eec,199,229
51302290658,afc,98,50
51302293701,ged,100,351
51302308286,gbg,216,62
51302340063,ffb,123,154
51302342609,bbc,74,58
51302347521,egg,21,88
51302359267,gcg,125,147
51302393079,ddg,237,53
51302424246,cbd,131,279
51302444814,cee,17,147
51302461051,fda,35,242
51302482401,cca,194,147
51302505205,dec,221,95
51302506222,egd,5,280
51302514920,dfc,177,110
51302543946,acb,193,59
51302631498,agg,40,233
51302672266,acc,276,291
51302742512,bce,288,176
51302757332,gff,83,131
51302795840,gcc,86,294
51302795863,cdg,76,286
51302802541,dgg,242,16
51302814905,gad,46,152
51302832160,gfg,33,169
51302841823,ggf,51,152
51302871735,dcg,31,202
51302880655,cbe,91,285
51302896953,bcc,27,263
51302947887,gbe,239,163
51302951458,fbd,81,217
51302952603,eaf,70,80
51302973454,afg,295,131
51302994332,fbg,282,61
51303001192,gce,52,67
51303009394,efd,26,249
51303038317,aad,163,85
51303039535,agb,11,204
51303047823,gee,119,247
51303076659,eca,31,120
51303082843,gbd,252,209
51303083216,cfa,119,92
51303086955,dfe,124,22
51303103135,cec,184,119
51303105296,fde,270,15
51303117858,dba,229,66
51303124163,gdb,171,51
51303146931,gdf,60,132
51303151275,bdd,259,212
51303151576,fgg,182,220
51303155360,fbe,87,55
51303178855,geg,195,204
51303186286,ede,136,117
51303200248,aba,213,19
51303220026,bed,132,241
51303257390,eac,227,206
51303269038,bba,252,148
51303291800,ffc,98,42
51303330877,cbf,144,140
51303378117,bee,113,18
51303383841,eda,111,214
51303400654,eag,140,56
51303403375,gae,246,24
51303440594,dff,57,252
51303467108,bde,194,286
51303473684,dae,260,146
51303503182,ccd,8,44
51303512954,baf,123,196
51303521856,acd,148,295
51303525168,aba,23,19
51303541064,bda,149,184
51303541697,ecb,268,87
51303563534,fcc,100,197
51303610089,geg,88,171
51303618222,gac,262,33
51303647797,bed,281,281
51303661014,ccc,286,111
51303672747,adf,59,175
51303696860,bee,160,20
51303712309,cdf,127,225
51303731826,bgc,294,255
51303745872,edb,31,131
51303751484,eda,260,220
51303829563,gfb,38,215
51303895648,bfb,196,74
51303923246,bbe,238,46
51303932012,gbe,179,133
51303933214,gfg,65,167
51303948763,dec,50,98
51303952612,gff,259,145
51303978365,ede,81,111
51303995415,bca,68,295
51304004507,cgf,98,137
51304028462,efb,274,70
51304074340,cgc,217,149
51304091124,dfd,151,19
51304093802,ebd,102,92
51304096255,aff,49,294
51304109342,ecf,13,80
51304128027,ceb,111,101
51304133423,dea,159,87
51304140649,cdb,73,224
51304156880,ebc,200,187
51304225535,cba,192,269
51304251241,bgb,264,212
51304272534,dga,215,262
51304281252,dcb,24,75
51304288400,edd,174,39
51304307172,cfd,273,127
51304327275,cbf,238,163
51304328673,aaf,96,128
51304332693,aag,265,116
51304338891,ebb,185,118
51304356268,dfg,67,117
51304372392,ccb,261,284
51304373165,ged,53,410
